REPORTID,USERID,REQUESTTYPE,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGITUDE,RADIUSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE,,,,,,,,,,,,,,,,,,,,,
13607,,it's too far / too many lanes to cross,,,,-71.05945,42.359295,,,,0,1/15/2016,21:21:43,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
13608,,it's too far / too many lanes to cross,,,,-71.07222,42.332623,,,,0,1/15/2016,21:34:49,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
13609,,bike facilities don't exist or need improvement,,,,-71.09302,42.349865,,"\I feel scared biking on the \""\""green carpet\""\"" bike lane here because the intersection is so wide open. I feel like a speeding car could peel off from Comm Ave onto Bay State and clip me.\""""",,0,1/15/2016,21:46:24,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
13610,,bike facilities don't exist or need improvement,,,,-71.09153,42.34916,,"While I love that the Comm Ave bike lane is to the left of the road and not next to the parked cars (not in door zone), it's very difficult to cut over 3-4 lanes at Charlesgate East to continue on the bike lane which switches to the right side here.",,0,1/15/2016,21:47:56,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
13611,,bike facilities don't exist or need improvement,,,,-71.067406,42.352337,,Need a bike facility to connect Boylston St to Park Plaza/Columbus Ave. Current one way street grid here makes cyclists ride in a huge loop down to Stuart St.,,0,1/15/2016,21:49:22,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
13612,,people speed,,,,-71.06923,42.34507,,"3 lane, no parking either side. SPEEDWAY. No separation from sidewalk. I'm scared with speeding cars only a couple feet from me.",,0,1/15/2016,21:52:00,,,,,,walks,,,,,,,,,,,,,,,,,,,,,
13613,,people run red lights / stop signs,,,,-71.07732,42.35009,,"People who are walking constantly run the red light here, which makes it very dangerous for themselves and others.",,0,1/15/2016,21:54:47,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
14007,,people cross away from the crosswalks,,,,-71.09537,42.331554,,,,0,1/15/2016,21:33:54,,,,,,travels (other),,,,,,,,,,,,,,,,,,,,,
14008,,people run red lights / stop signs,,,,-71.07214,42.332615,,,,0,1/15/2016,21:34:37,,,,,,drives,,,,,,,,,,,,,,,,,,,,,
14009,,bike facilities don't exist or need improvement,,,,-71.07099,42.331688,,,,0,1/15/2016,21:35:04,,,,,,bikes,,,,,,,,,,,,,,,,,,,,,
