INCIDENT,DATE,MODE,STATUS,location,COMMENTS
13607,2016-01-15T21:21:43.000Z,walks,Unassigned,"-71.05944919825285,42.359295133633843",
13608,2016-01-15T21:34:49.000Z,walks,Unassigned,"-71.072220663428169,42.332620745879652",
13609,2016-01-15T21:46:24.000Z,bikes,Unassigned,"-71.093017645910777,42.349863675311482","\"I feel scared biking on the \"\"green carpet\"\" bike lane here because the intersection is so wide open. I feel like a speeding car could peel off from Comm Ave onto Bay State and clip me.\""
13610,2016-01-15T21:47:56.000Z,bikes,Unassigned,"-71.09152633743625,42.349157981625225","While I love that the Comm Ave bike lane is to the left of the road and not next to the parked cars (not in door zone), it's very difficult to cut over 3-4 lanes at Charlesgate East to continue on the bike lane which switches to the right side here."
13611,2016-01-15T21:49:22.000Z,bikes,Unassigned,"-71.067407914140674,42.352337503790523",Need a bike facility to connect Boylston St to Park Plaza/Columbus Ave. Current one way street grid here makes cyclists ride in a huge loop down to Stuart St.
13612,2016-01-15T21:52:00.000Z,walks,Unassigned,"-71.069229134293181,42.345068372978709","3 lane, no parking either side. SPEEDWAY. No separation from sidewalk. I'm scared with speeding cars only a couple feet from me."
13613,2016-01-15T21:54:47.000Z,bikes,Unassigned,"-71.077319888154719,42.350091150066021","People who are walking constantly run the red light here, which makes it very dangerous for themselves and others."
14007,2016-01-15T21:33:54.000Z,travels (other),Unassigned,"-71.095366226542396,42.331555099496669",
14008,2016-01-15T21:34:37.000Z,drives,Unassigned,"-71.0721401968366,42.332616780008109",
14009,2016-01-15T21:35:04.000Z,bikes,Unassigned,"-71.070989529517817,42.331688814972871",
14010,2016-01-15T21:35:35.000Z,bikes,Unassigned,"-71.076680820373397,42.348859095783546",
14011,2016-01-15T21:39:17.000Z,walks,Unassigned,"-71.104104937913334,42.316973437224618",The SWC path has an outlet here right across from Stony Brook Station but there's no crosswalk.
14012,2016-01-15T21:40:03.000Z,walks,Unassigned,"-71.109895041653516,42.322064795683595",People driving out of the rotary and going onto Day St often don't yield to pedestrians in the crosswalk across Day St.
14013,2016-01-15T21:41:06.000Z,bikes,Unassigned,"-71.111533871464019,42.32099785261989","\"An \"\"except bikes\"\" under the Do Not Enter sign on Barbara St at S Huntington would be helpful so that Hubway users can get to the station easier.\""
14014,2016-01-15T21:43:16.000Z,bikes,Unassigned,"-71.08815211880372,42.336125018949858","Where is the southwest corridor bike path through here? It's supposedly on the sidewalk, but the parking garage and insane amount of pedestrians make it unusable. I often have to ride in the street here until the bike lane on Columbus Ave begins."
14015,2016-01-15T21:44:09.000Z,bikes,Unassigned,"-71.08958441874384,42.345098109128159","Hemenway from Boylston to Westland is one way, but it's super wide. Can we get a two way cycle track?"
14016,2016-01-15T21:45:07.000Z,walks,Unassigned,"-71.093318053321568,42.349895391583722",Huge wide open intersection
14017,2016-01-15T21:50:03.000Z,walks,Unassigned,"-71.072547026760773,42.355429652303343",Cars from Storrow Drive don't yield when turning onto Arlington St.
14018,2016-01-15T21:52:49.000Z,drives,Unassigned,"-71.064760574506792,42.343629115773815",Always traffic here. Remove one of the parking lanes full time!
14019,2016-01-15T21:53:25.000Z,walks,Unassigned,"-71.102580932559079,42.343327293488009",It feels like it will take forever to get from the far side of Brookline ave to the far side of Boylston St. I should be able to cross these two streets in one go. I shouldn't have to stand on the island and wait another whole light cycle!
14020,2016-01-15T21:54:06.000Z,walks,Unassigned,"-71.07588637728557,42.343918555781471","You think they're going to stop but they usually coast. I think people have gotten used to the fact that both streets lead away from this intersection, so unless there is someone trying to cross, then there's no reason to stop."
14021,2016-01-15T21:55:15.000Z,walks,Unassigned,"-71.094361433049343,42.347165743235358","The street is one lane in each direction with parking only on one side, yet it is at least 60ft wide. What gives?"
14022,2016-01-15T21:56:02.000Z,walks,Unassigned,"-71.105546244362515,42.347526531119165",Super wide intersection for a relatively minor side street. Tighten it up!
14023,2016-01-15T21:56:58.000Z,walks,Unassigned,"-71.105579879083379,42.347620066118452","The corners are so far set back that it's difficult for cars to see you waiting to cross. As a result, they don't stop for you."
14024,2016-01-15T21:58:22.000Z,drives,Unassigned,"-71.044259629131133,42.338003967462242","The geometry of this intersection makes visibility hard. The new one way on E First St helped a little, but there's a lot more that can be done, including hopefully a crosswalk."
14025,2016-01-15T22:26:29.000Z,bikes,Unassigned,"-71.09559731725092,42.348787806831638","the hotel valet always has cars double parked in this area, and it's very dangerous for cyclists!"
14026,2016-01-15T22:29:08.000Z,walks,Unassigned,"-71.097839644252446,42.344573280323402",it's very scary to walk through the intersection because the cars do not slow down while turning.
14407,2016-01-19T14:39:16.000Z,walks,Unassigned,"-71.05720821243608,42.359966029219272","It takes a really long time to be able to cross the street, which is especially frustrating during the summer months when there are a lot of tourists."
14408,2016-01-19T14:44:47.000Z,bikes,Unassigned,"-71.056316378496732,42.342346954147956","There is always double parking on both sides of the street for the coffee shops, yoga studio, etc. It's dangerous and annoying when I bike, drive, or bus."
14409,2016-01-19T14:46:18.000Z,walks,Unassigned,"-71.105192367429368,42.334035738543029","An old woman tried to cross a parking lane, 2 travel lanes, 2 trolley tracks, and then 2 more travel lanes from The Mission towards the Santander. Her  carriage kept getting stuck on the tracks and I feared a turning vehicle would wipe her out!"
14410,2016-01-19T14:47:23.000Z,walks,Unassigned,"-71.063597057686181,42.357576687955934","There's a statue that's a tourist attraction, a bus stop, and this is a good location to take picture of the State House. There's no room for people to safely stand!"
14411,2016-01-19T14:47:49.000Z,drives,Unassigned,"-71.112086869861344,42.331993274419844",The divider island has sunk into the ground and there's poor signage about the left lane needing to turn left onto S Huntington. Cars always crash into the median and take out the signs.
14412,2016-01-19T14:49:55.000Z,walks,Unassigned,"-71.063263122454046,42.357681735776211","Due to the length of the buses and the narrow street, they frequently run up on the sidewalk while turning. If you (the person walking) aren't careful you run the risk of being run over while being ON THE SIDEWALK."
14413,2016-01-19T14:50:09.000Z,walks,Unassigned,"-71.048462869701723,42.350359750685307",There are constantly cars running the lights at this intersection.
